Wavelength(um),R_with,R_without
1.06353,0.00454799,0.0342628
1.06453,0.00462032,0.0342622
1.06553,0.00469627,0.0342615
1.06653,0.00477582,0.0342609
1.06753,0.00485893,0.0342602
1.06853,0.00494559,0.0342596
1.06954,0.00503576,0.0342589
1.07054,0.00512943,0.0342583
1.07154,0.00522656,0.0342577
1.07254,0.00532713,0.0342571
1.07354,0.00543111,0.0342564
1.07454,0.00553848,0.0342558
1.07554,0.0056492,0.0342552
1.07654,0.00576326,0.0342546
1.07754,0.00588061,0.034254
1.07854,0.00600124,0.0342533
1.07954,0.0061251,0.0342527
1.08054,0.00625219,0.0342521
1.08155,0.00638246,0.0342515
1.08255,0.00651588,0.0342509
1.08355,0.00665243,0.0342503
1.08455,0.00679207,0.0342497
1.08555,0.00693478,0.0342491
1.08655,0.00708052,0.0342485
1.08755,0.00722926,0.0342479
1.08855,0.00738097,0.0342473
1.08955,0.00753562,0.0342468
1.09055,0.00769318,0.0342462
1.09155,0.00785361,0.0342456
1.09255,0.00801688,0.034245
1.09355,0.00818296,0.0342444
1.09456,0.00835182,0.0342438
1.09556,0.00852343,0.0342432
1.09656,0.00869774,0.0342427
1.09756,0.00887473,0.0342421
1.09856,0.00905436,0.0342415
1.09956,0.0092366,0.0342409
1.10056,0.00942142,0.0342404
1.10156,0.00960878,0.0342398
1.10256,0.00979865,0.0342392
1.10356,0.00999099,0.0342386
1.10456,0.0101858,0.0342381
1.10556,0.0103829,0.0342375
1.10657,0.0105825,0.0342369
1.10757,0.0107844,0.0342364
1.10857,0.0109886,0.0342358
1.10957,0.011195,0.0342352
1.11057,0.0114037,0.0342347
1.11157,0.0116146,0.0342341
1.11257,0.0118276,0.0342335
1.11357,0.0120428,0.034233
1.11457,0.01226,0.0342324
1.11557,0.0124793,0.0342319
1.11657,0.0127006,0.0342313
1.11757,0.0129239,0.0342307
1.11857,0.0131492,0.0342302
1.11958,0.0133764,0.0342296
1.12058,0.0136054,0.0342291
1.12158,0.0138363,0.0342285
1.12258,0.014069,0.0342279
1.12358,0.0143035,0.0342274
1.12458,0.0145398,0.0342268
1.12558,0.0147777,0.0342263
1.12658,0.0150173,0.0342257
1.12758,0.0152586,0.0342252
1.12858,0.0155014,0.0342246
1.12958,0.0157459,0.0342241
1.13058,0.0159918,0.0342235
1.13159,0.0162393,0.0342229
1.13259,0.0164883,0.0342224
1.13359,0.0167386,0.0342218
1.13459,0.0169904,0.0342213
1.13559,0.0172436,0.0342207
1.13659,0.0174981,0.0342202
1.13759,0.0177539,0.0342196
1.13859,0.018011,0.0342191
1.13959,0.0182693,0.0342185
1.14059,0.0185288,0.034218
1.14159,0.0187895,0.0342174
1.14259,0.0190514,0.0342169
1.14359,0.0193144,0.0342163
1.1446,0.0195784,0.0342158
1.1456,0.0198435,0.0342152
1.1466,0.0201097,0.0342147
1.1476,0.0203768,0.0342141
1.1486,0.0206449,0.0342136
1.1496,0.020914,0.034213
1.1506,0.0211839,0.0342125
1.1516,0.0214547,0.0342119
1.1526,0.0217264,0.0342114
1.1536,0.0219989,0.0342108
1.1546,0.0222722,0.0342103
1.1556,0.0225462,0.0342097
1.15661,0.022821,0.0342092
1.15761,0.0230965,0.0342086
1.15861,0.0233727,0.0342081
1.15961,0.0236495,0.0342075
1.16061,0.0239269,0.034207
1.16161,0.024205,0.0342064
1.16261,0.0244836,0.0342059
1.16361,0.0247628,0.0342053
1.16461,0.0250425,0.0342048
1.16561,0.0253227,0.0342042
1.16661,0.0256034,0.0342037
1.16761,0.0258846,0.0342031
1.16861,0.0261661,0.0342026
1.16962,0.0264481,0.034202
1.17062,0.0267305,0.0342015
1.17162,0.0270132,0.034201
1.17262,0.0272962,0.0342004
1.17362,0.0275796,0.0341999
1.17462,0.0278632,0.0341993
1.17562,0.0281471,0.0341988
1.17662,0.0284313,0.0341982
1.17762,0.0287157,0.0341977
1.17862,0.0290003,0.0341971
1.17962,0.0292851,0.0341966
1.18062,0.02957,0.034196
1.18163,0.0298551,0.0341955
1.18263,0.0301403,0.0341949
1.18363,0.0304256,0.0341944
1.18463,0.030711,0.0341939
1.18563,0.0309965,0.0341933
1.18663,0.031282,0.0341928
1.18763,0.0315675,0.0341922
1.18863,0.031853,0.0341917
1.18963,0.0321386,0.0341911
1.19063,0.0324241,0.0341906
1.19163,0.0327096,0.03419
1.19263,0.032995,0.0341895
1.19363,0.0332804,0.034189
1.19464,0.0335656,0.0341884
1.19564,0.0338508,0.0341879
1.19664,0.0341358,0.0341873
1.19764,0.0344207,0.0341868
1.19864,0.0347054,0.0341862
1.19964,0.03499,0.0341857
1.20064,0.0352744,0.0341852
1.20164,0.0355586,0.0341846
1.20264,0.0358425,0.0341841
1.20364,0.0361263,0.0341835
1.20464,0.0364098,0.034183
1.20564,0.0366931,0.0341825
1.20665,0.0369761,0.0341819
1.20765,0.0372588,0.0341814
1.20865,0.0375412,0.0341808
1.20965,0.0378233,0.0341803
1.21065,0.0381052,0.0341798
1.21165,0.0383866,0.0341792
1.21265,0.0386678,0.0341787
1.21365,0.0389486,0.0341781
1.21465,0.039229,0.0341776
1.21565,0.0395091,0.0341771
1.21665,0.0397888,0.0341765
1.21765,0.0400681,0.034176
1.21865,0.040347,0.0341755
1.21966,0.0406254,0.0341749
1.22066,0.0409035,0.0341744
1.22166,0.0411811,0.0341739
1.22266,0.0414583,0.0341733
1.22366,0.041735,0.0341728
1.22466,0.0420113,0.0341723
1.22566,0.0422871,0.0341717
1.22666,0.0425624,0.0341712
1.22766,0.0428373,0.0341707
1.22866,0.0431116,0.0341701
1.22966,0.0433854,0.0341696
1.23066,0.0436588,0.0341691
