wl,n,k
1.255,5.384102,0.1183474
1.2575,5.373432,0.1117597
1.26,5.362963,0.1055463
1.2625,5.352695,0.09968195
1.265,5.342621,0.09414376
1.2675,5.33274,0.08891083
1.27,5.323046,0.08396408
1.2725,5.313537,0.07928604
1.275,5.304208,0.07486064
1.2775,5.295055,0.0706731
1.28,5.286076,0.06670976
1.2825,5.277266,0.06295799
1.285,5.268622,0.05940605
1.2875,5.260141,0.05604307
1.29,5.25182,0.0528589
1.2925,5.243655,0.04984409
1.295,5.235644,0.04698982
1.2975,5.227786,0.04428783
1.3,5.220077,0.04173038
1.3025,5.212519,0.03931023
1.305,5.205116,0.03701351
1.3075,5.197856,0.03482266
1.31,5.19073,0.03273328
1.3125,5.183731,0.03074135
1.315,5.176856,0.02884303
1.3175,5.170099,0.02703461
1.32,5.163457,0.02531254
1.3225,5.156928,0.02367342
1.325,5.150507,0.02211399
1.3275,5.144192,0.02063115
1.33,5.137981,0.01922191
1.3325,5.131871,0.01788342
1.335,5.125859,0.01661295
1.3375,5.119945,0.01540789
1.34,5.114124,0.01426575
1.3425,5.108397,0.01318415
1.345,5.102759,0.01216079
1.3475,5.097211,0.01119351
1.35,5.091749,0.01028021
1.3525,5.086373,0.009418894
1.355,5.081081,0.008607663
1.3575,5.07587,0.007844686
1.36,5.070741,0.007128219
1.3625,5.06569,0.00645659
1.365,5.060718,0.005828201
1.3675,5.055822,0.005241523
1.37,5.051001,0.00469509
1.3725,5.046255,0.004187501
1.375,5.041581,0.003717412
1.3775,5.03698,0.003283539
1.38,5.03245,0.002884649
1.3825,5.027989,0.002519563
1.385,5.023598,0.002187148
1.3875,5.019275,0.001886321
1.39,5.01502,0.001616043
1.3925,5.010832,0.001375316
1.395,5.006711,0.001163183
1.3975,5.002656,0.000978728
1.4,4.998668,0.000821069
1.4025,4.994747,0.000689361
1.405,4.990895,0.000582791
1.4075,4.987116,0.000498199
1.41,4.983409,0.000423463
1.4125,4.979766,0.000356894
1.415,4.976183,0.000298381
1.4175,4.972658,0.000247813
1.42,4.969188,0.000205082
1.4225,4.965774,0.000170081
1.425,4.962412,0.000142704
1.4275,4.959103,0.000122847
1.43,4.955845,0.000110409
1.4325,4.952642,0.000103749
1.435,4.94949,9.76901E-05
1.4375,4.946386,9.18223E-05
1.44,4.943327,8.61442E-05
1.4425,4.940312,8.06553E-05
1.445,4.937339,7.53547E-05
1.4475,4.934406,7.02417E-05
1.45,4.931513,6.53154E-05
1.4525,4.928658,6.05752E-05
1.455,4.92584,5.60203E-05
1.4575,4.923058,5.16498E-05
1.46,4.920311,4.7463E-05
1.4625,4.917599,0.000043459
1.465,4.91492,3.96371E-05
1.4675,4.912273,3.59965E-05
1.47,4.909658,3.25365E-05
1.4725,4.907075,2.92561E-05
1.475,4.904521,2.61546E-05
1.4775,4.901997,2.32312E-05
1.48,4.899503,2.0485E-05
1.4825,4.897036,1.79154E-05
1.485,4.894598,1.55215E-05
1.4875,4.892187,1.33026E-05
1.49,4.889802,1.12577E-05
1.4925,4.887443,9.38613E-06
1.495,4.88511,7.6871E-06
1.4975,4.882803,6.15982E-06
1.5,4.880519,4.80348E-06
1.5025,4.87826,3.61731E-06
1.505,4.876025,2.60051E-06
1.5075,4.873813,1.75231E-06
1.51,4.871623,1.07192E-06
1.5125,4.869457,5.58563E-07
1.515,4.867312,2.11466E-07
1.5175,4.865189,2.98551E-08
1.52,4.863087,0
1.5225,4.861007,0
1.525,4.858946,0
1.5275,4.856907,0
1.53,4.854887,0
1.5325,4.852886,0
1.535,4.850905,0
1.5375,4.848942,0
1.54,4.846999,0
1.5425,4.845073,0
1.545,4.843165,0
1.5475,4.841275,0
1.55,4.839403,0
1.5525,4.837547,0
1.555,4.835708,0
1.5575,4.833886,0
1.56,4.832081,0
1.5625,4.830291,0
1.565,4.828517,0
1.5675,4.826759,0
1.57,4.825016,0
1.5725,4.823288,0
1.575,4.821575,0
1.5775,4.819877,0
1.58,4.818194,0
1.5825,4.816524,0
1.585,4.814869,0
1.5875,4.813228,0
1.59,4.8116,0
1.5925,4.809986,0
1.595,4.808385,0
1.5975,4.806798,0
1.6,4.805223,0
1.6025,4.803662,0
1.605,4.802112,0
1.6075,4.800576,0
1.61,4.799051,0
1.6125,4.797539,0
1.615,4.796039,0
1.6175,4.79455,0
1.62,4.793074,0
1.6225,4.791608,0
1.625,4.790155,0
1.6275,4.788712,0
1.63,4.787281,0
1.6325,4.78586,0
1.635,4.784451,0
1.6375,4.783052,0
1.64,4.781663,0
1.6425,4.780285,0
1.645,4.778918,0
1.6475,4.777561,0
1.65,4.776213,0
1.6525,4.774876,0
1.655,4.773548,0
1.6575,4.772231,0
1.66,4.770922,0
1.6625,4.769624,0
1.665,4.768335,0
1.6675,4.767055,0
1.67,4.765784,0
1.6725,4.764522,0
1.675,4.763269,0
1.6775,4.762025,0
1.68,4.76079,0
1.6825,4.759564,0
1.685,4.758346,0
1.6875,4.757137,0
1.69,4.755936,0
