Wavelength,Transmission
1.59596,0.126814
1.59696,0.126926
1.59796,0.127037
1.59896,0.127145
1.59996,0.127252
1.60096,0.127356
1.60196,0.127458
1.60296,0.127559
1.60396,0.127657
1.60496,0.127752
1.60596,0.127846
1.60697,0.127938
1.60797,0.128027
1.60897,0.128114
1.60997,0.128199
1.61097,0.128282
1.61197,0.128363
1.61297,0.128441
1.61397,0.128517
1.61497,0.128591
1.61597,0.128662
1.61697,0.128732
1.61797,0.128799
1.61898,0.128863
1.61998,0.128926
1.62098,0.128986
1.62198,0.129043
1.62298,0.129099
1.62398,0.129152
1.62498,0.129203
1.62598,0.129251
1.62698,0.129297
1.62798,0.129341
1.62898,0.129382
1.62998,0.129421
1.63098,0.129458
1.63199,0.129492
1.63299,0.129524
1.63399,0.129554
1.63499,0.129581
1.63599,0.129606
1.63699,0.129628
1.63799,0.129649
1.63899,0.129666
1.63999,0.129682
1.64099,0.129695
1.64199,0.129705
1.64299,0.129714
1.644,0.12972
1.645,0.129723
1.646,0.129725
1.647,0.129724
1.648,0.12972
1.649,0.129714
1.65,0.129706
